1953125,488281.24999999994,0,0,0,-130208.33333333334,-976562.50000000023,-97656.250000000058,0,0,0,-65104.166666666672,-976562.49999999977,-488281.25,0,0,0,-65104.166666666657,-1.7462298274040222e-10,97656.250000000058,0,0,0,-130208.33333333334
488281.24999999994,1953125,0,0,0,130208.33333333334,97656.250000000058,-1.7462298274040222e-10,0,0,0,130208.33333333334,-488281.25,-976562.49999999977,0,0,0,65104.166666666664,-97656.250000000073,-976562.50000000023,0,0,0,65104.166666666664
0,0,868055.55555555562,217013.88888888891,-217013.88888888893,0,0,0,-217013.88888888893,108506.94444444442,-217013.88888888893,0,0,0,-434027.77777777775,108506.94444444442,-108506.94444444444,0,0,0,-217013.88888888893,217013.88888888891,-108506.94444444444,0
0,0,217013.88888888891,111924.91319444445,-1098.632812499995,0,0,0,108506.94444444445,54497.612847222219,-366.21093749999494,0,0,0,-108506.94444444444,52544.487847222219,1098.6328125000048,0,0,0,-217013.88888888891,106553.81944444445,366.21093750000495,0
0,0,-217013.88888888893,-1098.632812499995,111924.91319444447,0,0,0,217013.88888888893,366.21093750000495,106553.81944444447,0,0,0,108506.94444444442,1098.6328125000048,52544.487847222219,0,0,0,-108506.94444444445,-366.21093749999494,54497.612847222219,0
-130208.33333333334,130208.33333333334,0,0,0,173611.11111111112,-65104.166666666672,-130208.33333333334,0,0,0,86805.555555555547,65104.166666666672,-65104.166666666657,0,0,0,43402.777777777766,130208.33333333334,65104.166666666657,0,0,0,86805.555555555562
-976562.50000000023,97656.250000000058,0,0,0,-65104.166666666672,1953125,-488281.25,0,0,0,-130208.33333333334,-1.7462298274040222e-10,-97656.250000000058,0,0,0,-130208.33333333336,-976562.49999999977,488281.25,0,0,0,-65104.166666666664
-97656.250000000058,-1.7462298274040222e-10,0,0,0,-130208.33333333334,-488281.25,1953125,0,0,0,-130208.33333333334,97656.250000000058,-976562.50000000023,0,0,0,-65104.166666666664,488281.24999999994,-976562.49999999977,0,0,0,-65104.166666666664
0,0,-217013.88888888888,108506.94444444445,217013.88888888893,0,0,0,868055.55555555562,217013.88888888893,217013.88888888893,0,0,0,-217013.88888888893,217013.88888888893,108506.94444444445,0,0,0,-434027.77777777775,108506.94444444445,108506.94444444445,0
0,0,108506.94444444444,54497.612847222219,366.21093750000495,0,0,0,217013.88888888893,111924.91319444445,1098.6328125000048,0,0,0,-217013.88888888893,106553.81944444445,-366.21093749999494,0,0,0,-108506.94444444445,52544.487847222219,-1098.6328124999948,0
0,0,-217013.88888888893,-366.21093749999494,106553.81944444447,0,0,0,217013.88888888893,1098.6328125000048,111924.91319444447,0,0,0,108506.94444444442,366.21093750000495,54497.612847222219,0,0,0,-108506.94444444445,-1098.6328124999948,52544.487847222219,0
-65104.166666666672,130208.33333333334,0,0,0,86805.555555555547,-130208.33333333334,-130208.33333333334,0,0,0,173611.11111111112,130208.33333333334,-65104.166666666664,0,0,0,86805.555555555547,65104.166666666672,65104.166666666664,0,0,0,43402.777777777766
-976562.49999999977,-488281.25,0,0,0,65104.166666666672,-1.7462298274040222e-10,97656.250000000058,0,0,0,130208.33333333334,1953125,488281.24999999994,0,0,0,130208.33333333336,-976562.50000000023,-97656.250000000073,0,0,0,65104.166666666664
-488281.25,-976562.49999999977,0,0,0,-65104.166666666657,-97656.250000000058,-976562.50000000023,0,0,0,-65104.166666666664,488281.25,1953125.0000000002,0,0,0,-130208.33333333334,97656.250000000058,-1.7462298274040222e-10,0,0,0,-130208.33333333334
0,0,-434027.77777777775,-108506.94444444444,108506.94444444442,0,0,0,-217013.88888888893,-217013.88888888893,108506.94444444442,0,0,0,868055.55555555562,-217013.88888888893,217013.88888888891,0,0,0,-217013.88888888893,-108506.94444444444,217013.88888888891,0
0,0,108506.94444444444,52544.487847222219,1098.6328125000048,0,0,0,217013.88888888893,106553.81944444445,366.21093750000495,0,0,0,-217013.88888888893,111924.91319444447,-1098.6328124999948,0,0,0,-108506.94444444445,54497.612847222219,-366.21093749999494,0
