1549027.082919959,309148.02638925397,0,0,0,-260416.66666666677,-234891.61512882076,-240199.55247067317,0,0,0,-156250.00000000009,-611389.90822397836,-393528.93111300195,0,0,0,-130208.33333333337,-702745.55956715951,324580.45719442109,0,0,0,-234375.00000000009
309148.02638925397,2278356.8911125911,0,0,0,117187.49999999997,-44887.052470673079,681941.52998978947,0,0,0,149739.58333333331,-393528.93111300201,-1116948.7073481625,0,0,0,58593.749999999964,129267.95719442095,-1843349.7137542185,0,0,0,26041.666666666628
0,0,888860.29765093059,427589.92977593932,-323833.24935313541,0,0,0,50705.452037178453,235198.9530758608,-201311.40722180242,0,0,0,-392281.99507303478,226614.200999608,-28172.924433207048,0,0,0,-547283.75461507426,419005.17769968638,-150694.7665645401,0
0,0,427589.92977593932,253669.2495832612,-59130.498912075331,0,0,0,174948.78122328123,137211.28726389835,20835.937150120284,0,0,0,-186810.91778825352,130402.79635369708,42061.409962788297,0,0,0,-415727.79321096704,242683.94452535023,-38284.74017066419,0
0,0,-323833.24935313541,-59130.498912075338,336834.08712100156,0,0,0,316097.25479844713,-34678.940929260236,334309.24986529793,0,0,0,147135.48674189771,-29519.700690350717,130939.80430972824,0,0,0,-139399.49218720934,-54350.972744422688,130294.79695853012,0
-260416.66666666674,117187.49999999996,0,0,0,441840.27777777787,-130208.33333333334,-188802.08333333334,0,0,0,234375.00000000003,130208.33333333337,-58593.749999999971,0,0,0,108940.9722222222,260416.66666666674,130208.33333333334,0,0,0,204427.08333333331
-234891.61512882073,-44887.052470673079,0,0,0,-130208.33333333334,2008261.8809567438,-618093.98135384219,0,0,0,-234375.00000000003,-464493.49058703356,107826.90763346868,0,0,0,-221354.16666666669,-1308876.7752408895,555154.12619104655,0,0,0,-117187.5
-240199.55247067311,681941.52998978924,0,0,0,-188802.08333333331,-618093.98135384219,2136862.5165649941,0,0,0,-221354.16666666669,303139.40763346892,-1548237.7982075193,0,0,0,-143229.16666666666,555154.12619104655,-1270566.248347264,0,0,0,-110677.08333333331
0,0,50705.452037178453,174948.78122328123,316097.25479844701,0,0,0,980086.17633609567,413067.69343342667,485068.25526916771,0,0,0,-465364.56513319409,412854.41063356725,286626.72422737564,0,0,0,-565427.06324008002,174735.49842342181,117655.723756655,0
0,0,235198.9530758608,137211.28726389835,-34678.940929260236,0,0,0,413067.69343342667,302988.12710756261,73342.869053971735,0,0,0,-417476.38974264078,292599.89780231379,90104.012586871977,0,0,0,-230790.25676664675,129938.55047866252,-17634.568048127399,0
0,0,-201311.40722180239,20835.937150120284,334309.24986529793,0,0,0,485068.25526916771,73342.869053971735,383832.49916689139,0,0,0,4043.6454844958716,75505.40734268348,172942.86636926958,0,0,0,-287800.49353186123,23281.70478706462,125784.00935643073,0
-156250.00000000009,149739.58333333331,0,0,0,234375,-234375.00000000006,-221354.16666666669,0,0,0,495659.72222222242,273437.50000000017,-39062.499999999956,0,0,0,231336.80555555556,117187.5,110677.08333333331,0,0,0,108940.97222222219
-611389.90822397836,-393528.93111300195,0,0,0,130208.33333333337,-464493.49058703345,303139.40763346874,0,0,0,273437.50000000012,1602825.937205794,304306.49906903895,0,0,0,260416.66666666677,-526942.53839478199,-213916.97558950575,0,0,0,117187.50000000001
-393528.93111300195,-1116948.7073481628,0,0,0,-58593.749999999971,107826.90763346877,-1548237.7982075193,0,0,0,-39062.499999999956,304306.49906903889,2344995.0655908789,0,0,0,-117187.49999999996,-18604.475589505746,320191.43996480328,0,0,0,-136718.74999999997
0,0,-392281.99507303478,-186810.91778825352,147135.48674189771,0,0,0,-465364.56513319409,-417476.38974264089,4043.6454844958425,0,0,0,854528.02564791567,-471604.33997748356,110350.56815054434,0,0,0,3118.5345583131129,-240938.86802309626,253442.40940794614,0
0,0,226614.200999608,130402.79635369708,-29519.700690350717,0,0,0,412854.41063356725,292599.89780231379,75505.40734268348,0,0,0,-471604.33997748356,311459.52773478383,42629.969714069324,0,0,0,-167864.27165569173,144845.95886768712,-62796.639263162702,0
0,0,-28172.924433207041,42061.409962788297,130939.80430972822,0,0,0,286626.72422737564,90104.012586871977,172942.86636926956,0,0,0,110350.56815054436,42629.969714069302,248460.52734980662,0,0,0,-368804.36794471293,-5814.1338542121994,203105.74435345939,0
-130208.33333333337,58593.749999999964,0,0,0,108940.9722222222,-221354.16666666669,-143229.16666666669,0,0,0,231336.80555555556,260416.66666666677,-117187.49999999996,0,0,0,429687.5,91145.833333333314,201822.91666666666,0,0,0,201388.88888888885
-702745.55956715962,129267.95719442099,0,0,0,260416.66666666677,-1308876.7752408895,555154.12619104667,0,0,0,117187.5,-526942.53839478199,-18604.475589505717,0,0,0,91145.833333333314,2538564.873202831,-665817.6077959619,0,0,0,234375.00000000003
324580.45719442103,-1843349.7137542181,0,0,0,130208.33333333334,555154.12619104655,-1270566.2483472638,0,0,0,110677.08333333331,-213916.97558950575,320191.43996480317,0,0,0,201822.91666666666,-665817.6077959619,2793724.5221366794,0,0,0,221354.16666666666
0,0,-547283.75461507426,-415727.79321096698,-139399.49218720934,0,0,0,-565427.06324008002,-230790.25676664669,-287800.49353186123,0,0,0,3118.5345583130402,-167864.2716556917,-368804.36794471293,0,0,0,1109592.2832968412,-352801.8081000119,-220403.36660006104,0
0,0,419005.17769968644,242683.94452535023,-54350.972744422696,0,0,0,174735.49842342181,129938.55047866252,23281.70478706462,0,0,0,-240938.86802309629,144845.95886768712,-5814.1338542121885,0,0,0,-352801.80810001201,263069.1419605515,-82948.825718477368,0
0,0,-150694.7665645401,-38284.740170664183,130294.7969585301,0,0,0,117655.723756655,-17634.568048127399,125784.00935643073,0,0,0,253442.40940794616,-62796.63926316271,203105.74435345939,0,0,0,-220403.36660006107,-82948.825718477368,211773.70521051181,0
-234375.00000000006,26041.666666666628,0,0,0,204427.08333333334,-117187.5,-110677.08333333331,0,0,0,108940.97222222219,117187.50000000003,-136718.75,0,0,0,201388.88888888888,234375.00000000003,221354.16666666666,0,0,0,375868.05555555562
